,Unnamed: 0,corr_train,corr_test,r2_train,r2_test,num_obs,num_features,nrmse,baseline_nrmse,tumor,method,feature,measure
66,std,0.2199519662802189,0.2475244238874786,0.2340334196891617,17.214946887538662,42.36608625111112,62.91328500886312,0.3625669111450401,0.136234706042205,tumor2,elastic,stringhi,std
67,min,-0.245471256157782,-0.7502963943843257,-5.555329061679081,-1731.7593459372,40.0,1.0,0.1681871506369988,0.1845026540434989,tumor2,elastic,stringhi,min
68,25%,0.3330260240921135,0.1673375256754069,0.0447555911024272,-0.0678933448636329,132.0,2.0,0.3246313203271544,0.3479772608900577,tumor2,elastic,stringhi,25%
69,50%,0.5071999608222307,0.3718123027148489,0.1817576008204496,0.0376692834272869,180.0,12.0,0.3841499945075832,0.4110915110204828,tumor2,elastic,stringhi,50%
70,75%,0.6447092650464199,0.5315247680765687,0.3445372544943056,0.183941412843354,180.0,54.0,0.4773884112391888,0.50540918643264,tumor2,elastic,stringhi,75%
71,max,0.965409119446058,0.9465674745104556,0.9040357138924608,0.8129602316012854,180.0,822.0,31.442377171505985,1.311672781939255,tumor2,elastic,stringhi,max
72,count,10536.0,10536.0,10536.0,10536.0,10536.0,10536.0,10536.0,10536.0,tumor2,elastic,all,count
73,mean,0.7972724744139887,0.3835707288150291,0.5579395008993412,0.0832012119447854,152.6929574791192,10869.0,0.4085999851809833,0.4425226378507407,tumor2,elastic,all,mean
74,std,0.2159358928600687,0.254404125425499,0.2998859403913531,0.2925534628033022,42.44001178854414,0.0,0.1440786887566378,0.1362668089728452,tumor2,elastic,all,std
75,min,0.0,-0.5821951318636582,-0.7457743157182473,-6.698890323951991,40.0,10869.0,0.1664152370302596,0.1845026540434989,tumor2,elastic,all,min
76,25%,0.7536529002792289,0.2116584170573186,0.367309162809569,-0.0409749134511592,132.0,10869.0,0.3124971067500469,0.3481550364130831,tumor2,elastic,all,25%
77,50%,0.8625532481914968,0.4212922806324009,0.6149250603920406,0.0898364622781032,180.0,10869.0,0.373104580894521,0.4112059538852782,tumor2,elastic,all,50%
78,75%,0.932222929551334,0.5807227284155725,0.7973344573484035,0.2580818540377048,180.0,10869.0,0.4623795391122596,0.5056217446862289,tumor2,elastic,all,75%
79,max,0.999999549395798,0.978497001326044,0.9999975123932022,0.8205257685253853,180.0,10869.0,1.7579190614422957,1.311672781939255,tumor2,elastic,all,max
80,count,10761.0,10761.0,10761.0,10761.0,10761.0,10761.0,10761.0,10761.0,tumor2,linreg,single,count
81,mean,0.3398891877512011,0.3124466904343316,0.1560991903892697,-0.1054078345589269,149.77130378217635,1.0,0.4197354755806062,0.4458299449235404,tumor2,linreg,single,mean
82,std,0.2014405651953938,0.2616842945091788,0.1470047078637615,14.110396519616906,46.04977323627405,0.0,0.3086205099943421,0.1400732203924634,tumor2,linreg,single,std
83,min,-2.3997897378138463e-16,-0.9332975877309622,-4.440892098500626e-16,-1447.5808753153972,19.0,1.0,0.1683121522187537,0.1845026540434989,tumor2,linreg,single,min
84,25%,0.1728706081623648,0.1283176332321151,0.0298842471664257,-0.0350135944359364,122.0,1.0,0.3239133627965827,0.3491152461351884,tumor2,linreg,single,25%
85,50%,0.3368464563619759,0.3329346798478307,0.1134655351636209,0.0435865977994895,180.0,1.0,0.3837583222215879,0.4132276047608175,tumor2,linreg,single,50%
86,75%,0.5013703787169703,0.5114419121986479,0.2513722566547978,0.1886900225304505,180.0,1.0,0.4723553388838515,0.5092757420120542,tumor2,linreg,single,75%
87,max,0.897153529398376,0.9724300842663256,0.8048844553119625,0.8386825404948797,180.0,1.0,27.898182476966376,1.6308265972265612,tumor2,linreg,single,max
88,count,10766.0,10766.0,10766.0,10766.0,10766.0,10766.0,10766.0,10766.0,tumor2,linreg,corum,count
89,mean,0.3979238051330885,0.3175945981319527,0.2057662904407194,-4.155716911925169e+23,149.7552480029723,7.438231469440832,8720698752.414381,0.4458829996839367,tumor2,linreg,corum,mean
90,std,0.2178573342479934,0.2588071435380461,0.1873279107137349,1.47878327249467e+25,46.06084152525506,22.9909015383568,189986469658.76608,0.140228829389144,tumor2,linreg,corum,std
91,min,-2.3997897378138463e-16,-0.9332975877309622,-4.440892098500626e-16,-1.1078576523991545e+27,19.0,1.0,0.132685257421171,0.1845026540434989,tumor2,linreg,corum,min
92,25%,0.2314840700974001,0.1365386408448854,0.0535848748228198,-0.0623443967525715,122.0,1.0,0.3292721391598222,0.3491212786404564,tumor2,linreg,corum,25%
93,50%,0.4024682197132065,0.3399681550929084,0.1619806684424657,0.0395893667561716,180.0,1.0,0.3925518903238201,0.4132103335187589,tumor2,linreg,corum,50%
94,75%,0.5564779017754689,0.5141446698423867,0.309449337837794,0.1902033210521341,180.0,2.0,0.4895680465247392,0.5092770700384742,tumor2,linreg,corum,75%
95,max,1.0,0.9724300842663256,1.0,0.8386825404948797,180.0,266.0,11229238609709.213,1.6308265972265612,tumor2,linreg,corum,max
96,count,10804.0,10804.0,10804.0,10804.0,10804.0,10804.0,10804.0,10804.0,tumor2,linreg,string,count
97,mean,0.9263014539356652,0.0618558853275546,0.8753175363601324,-2.8228716088772863e+25,149.58182154757498,295.64818585709,646896580677.7224,0.4463381674745019,tumor2,linreg,string,mean
98,std,0.1417116034229798,0.2278785850238214,0.3456669087812055,5.104152518671211e+26,46.18801018151383,211.30908097157103,1925557294085.8523,0.1406084024511457,tumor2,linreg,string,std
99,min,-5.755325518530839e-17,-0.8520493243042411,-28.583989475209627,-3.651247251304477e+28,19.0,1.0,0.2349360353816747,0.1845026540434989,tumor2,linreg,string,min
100,25%,0.9229483779860426,-0.0870522611911991,0.8518332260040197,-2.027164203082346e+24,120.0,134.0,1.0848126410400216,0.3493025194441399,tumor2,linreg,string,25%
101,50%,0.9853697828429724,0.0494260925954683,0.9709513849301268,-1.1807463870942214e+23,180.0,241.0,138902867062.55444,0.4136840373191235,tumor2,linreg,string,50%
102,75%,0.9941452875238882,0.1978064380794839,0.988317655769166,-4.057566414029388,180.0,412.0,540731006089.2992,0.5099332576112303,tumor2,linreg,string,75%
103,max,1.0,0.9257848465009912,1.0,0.8443011433804064,180.0,909.0,53175405528958.7,1.6308265972265612,tumor2,linreg,string,max
104,count,10519.0,10519.0,10519.0,10519.0,10519.0,10519.0,10519.0,10519.0,tumor2,linreg,stringhi,count
105,mean,0.5733204073353635,0.286391881752122,0.3922011694955763,-3.310998822312751e+24,152.78866812434643,40.966917007320085,75910536402.02373,0.4423703051999518,tumor2,linreg,stringhi,mean
106,std,0.2524000203585496,0.2535031241220764,0.2872527813176183,7.552291478011406e+25,42.36608625111112,62.91328500886312,557215144783.6108,0.136234706042205,tumor2,linreg,stringhi,std
107,min,-5.97126459453932e-17,-0.7828074482406411,-0.2430529330163939,-6.516916363982477e+27,40.0,1.0,0.1779947886203943,0.1845026540434989,tumor2,linreg,stringhi,min
108,25%,0.3882766303795979,0.1090573638213128,0.1506916721635319,-0.4985311446066653,132.0,2.0,0.3541615723259686,0.3479772608900577,tumor2,linreg,stringhi,25%
109,50%,0.5830812475009122,0.3005746420259118,0.3399805630812972,-0.0352008183595971,180.0,12.0,0.4381899144293223,0.4110915110204828,tumor2,linreg,stringhi,50%
110,75%,0.762535501777329,0.4753567379020579,0.5810472818794818,0.1360538005510524,180.0,54.0,0.6018841203430145,0.50540918643264,tumor2,linreg,stringhi,75%
111,max,1.0,0.9511277956216452,1.0,0.8565752589463168,180.0,822.0,18388276865942.344,1.311672781939255,tumor2,linreg,stringhi,max
112,count,10536.0,10536.0,10536.0,10536.0,10536.0,10536.0,10536.0,10536.0,tumor2,linreg,all,count
113,mean,0.9631823546107144,0.0299887127675081,0.9258967566960884,-2.4595084279614915e+25,152.6929574791192,10869.0,572829932952.3793,0.4425226378507407,tumor2,linreg,all,mean
114,std,0.0561789638087273,0.1987871676995552,0.116412189062484,1.9411934143224686e+26,42.44001178854414,0.0,1583182520053.7646,0.1362668089728452,tumor2,linreg,all,std
115,min,0.4641673011059211,-0.6729944856931646,-0.7360877198946159,-1.236337051762567e+28,40.0,10869.0,0.2303382131335944,0.1845026540434989,tumor2,linreg,all,min
116,25%,0.9602571587525388,-0.0989191740980772,0.9203556356377364,-1.033685650331358e+24,132.0,10869.0,80842993943.49504,0.3481550364130831,tumor2,linreg,all,25%
117,50%,0.9836844192500932,0.0150650372183501,0.9675280023110452,-2.7351625042587117e+23,180.0,10869.0,205539494875.86264,0.4112059538852782,tumor2,linreg,all,50%
118,75%,0.993406904803376,0.1380956594528457,0.986849111467166,-3.784593506972938e+22,180.0,10869.0,396128888051.8875,0.5056217446862289,tumor2,linreg,all,75%
119,max,1.0,0.9483463639057658,1.0,0.8811830199753465,180.0,10869.0,48674752653493.945,1.311672781939255,tumor2,linreg,all,max
120,count,10495.0,10495.0,10495.0,10495.0,10495.0,10495.0,10495.0,10495.0,tumor2,boosting,single,count
121,mean,0.9305170884836416,0.1994911528869559,0.8888609929799157,-0.6860501809304917,152.8406860409719,1.0,0.5396763611371894,0.4421516173613648,tumor2,boosting,single,mean
122,std,0.1578533472383704,0.2340180493708809,0.1850264478466127,0.922365809902458,42.334881576768026,0.0,0.1857302269341024,0.1359933541664478,tumor2,boosting,single,std
123,min,-2.0411544414284046e-16,-0.8582791862838761,-0.0106194600349249,-34.81600348837431,40.0,1.0,0.158851424309289,0.1845026540434989,tumor2,boosting,single,min
124,25%,0.9451661929727184,0.0324330521013572,0.8923131241484505,-0.9770546600860684,132.0,1.0,0.4205203454814603,0.3478196878119904,tumor2,boosting,single,25%
125,50%,0.9784339800605952,0.1942827868496021,0.9551202251735575,-0.5356078437890641,180.0,1.0,0.5029353348903544,0.410897634432692,tumor2,boosting,single,50%
126,75%,0.9891647467234695,0.3622318074977959,0.9759909485158664,-0.193420715477426,180.0,1.0,0.6136675485425427,0.5052450438076082,tumor2,boosting,single,75%
127,max,0.99999935797734,0.921088264117946,0.9999980972065796,0.8470380757168083,180.0,1.0,4.012005363515733,1.311672781939255,tumor2,boosting,single,max
128,count,10499.0,10499.0,10499.0,10499.0,10499.0,10499.0,10499.0,10499.0,tumor2,boosting,corum,count
129,mean,0.9390288842207224,0.2470772310224516,0.9020259229289213,-0.4942112358827796,152.82950757214974,7.48718925611963,0.5102593842553294,0.4422162549489093,tumor2,boosting,corum,mean
130,std,0.1470552005845752,0.2463722485273431,0.1754132069777307,0.8475637810414052,42.34669302135797,23.082074247094543,0.1907804374335069,0.1361648537816684,tumor2,boosting,corum,std
131,min,-1.3024571881311556e-16,-0.7227366771718775,-0.0106194600349249,-34.81600348837431,40.0,1.0,0.1644850278645951,0.1845026540434989,tumor2,boosting,corum,min
132,25%,0.9555742857371988,0.0681273628759277,0.9117267844988516,-0.7879486523927888,132.0,1.0,0.3811055789631445,0.3478424412547445,tumor2,boosting,corum,25%
133,50%,0.9823659731484644,0.2481056617795995,0.9635327978726442,-0.3246085997837795,180.0,1.0,0.4777861961414379,0.410897634432692,tumor2,boosting,corum,50%
134,75%,0.9913035487477132,0.4250383969695207,0.981327273228126,-0.0101024117130956,180.0,2.0,0.5955720498812977,0.5052702232795132,tumor2,boosting,corum,75%
135,max,0.9999999999987323,0.9263509996763368,0.999999999997044,0.8470380757168083,180.0,264.0,2.941740568692488,1.311672781939255,tumor2,boosting,corum,max
136,count,10532.0,10532.0,10532.0,10532.0,10532.0,10532.0,10532.0,10532.0,tumor2,boosting,string,count
137,mean,0.9750564129701496,0.4468145948687742,0.9530529623969668,0.1509022823838561,152.7038549183441,298.84627800987465,0.3886237569099562,0.4425259756103606,tumor2,boosting,string,mean
138,std,0.0512411809517235,0.252135058118685,0.0845144693863,0.3479175299033027,42.42991319021579,212.0551297152751,0.1388325333809257,0.1362854666401587,tumor2,boosting,string,std
139,min,-1.188190242684858e-16,-0.6445477198646533,-0.0065932938145549,-6.079894817986388,40.0,1.0,0.149875367636583,0.1845026540434989,tumor2,boosting,string,min
140,25%,0.9795875524027826,0.2864168065212097,0.9594275271106056,-0.0007713192320494,132.0,137.0,0.2949685529610073,0.3481550364130831,tumor2,boosting,string,25%
141,50%,0.9900209623202124,0.4843651950778743,0.9800578755382824,0.1892081832135442,180.0,245.0,0.3556451012492878,0.4112059538852782,tumor2,boosting,string,50%
142,75%,0.9953753222779056,0.6420746752976502,0.990741453098698,0.3702237762672864,180.0,416.25,0.440636787950185,0.5056217446862289,tumor2,boosting,string,75%
143,max,0.9999999999996346,0.9691515078600358,0.999999999999216,0.883475214376208,180.0,909.0,1.49916334594321,1.311672781939255,tumor2,boosting,string,max
144,count,10519.0,10519.0,10519.0,10519.0,10519.0,10519.0,10519.0,10519.0,tumor2,boosting,stringhi,count
145,mean,0.965443101453092,0.3597385742526937,0.9399044385880878,-0.1034590273553675,152.78866812434643,40.966917007320085,0.4390451514129657,0.4423703051999518,tumor2,boosting,stringhi,mean
146,std,0.0913547679035617,0.2633558067284341,0.1192907509176076,0.6355366178729823,42.36608625111112,62.91328500886312,0.1742640684803991,0.136234706042205,tumor2,boosting,stringhi,std
147,min,-1.188190242684858e-16,-0.7304175765597285,-0.0086440582582096,-15.634272900119624,40.0,1.0,0.1540681753236355,0.1845026540434989,tumor2,boosting,stringhi,min
148,25%,0.9756287029512578,0.1799306444292037,0.951205317760666,-0.2862116483333932,132.0,2.0,0.3198144866384105,0.3479772608900577,tumor2,boosting,stringhi,25%
149,50%,0.9886178107298416,0.382108201765396,0.976992130071361,0.0200427610287063,180.0,12.0,0.3963097221849171,0.4110915110204828,tumor2,boosting,stringhi,50%
150,75%,0.9947934631259469,0.5618873469081325,0.9894279677004552,0.2589481490708321,180.0,54.0,0.5111579092279948,0.50540918643264,tumor2,boosting,stringhi,75%
151,max,0.999999999999834,0.9426000740854192,0.9999999999996492,0.8376911319732668,180.0,822.0,2.5136938721247963,1.311672781939255,tumor2,boosting,stringhi,max
152,count,11624.0,11624.0,11624.0,11624.0,11624.0,11624.0,11624.0,11624.0,tumor3,forest,single,count
153,mean,0.6522385884619452,0.3334912738420071,0.4022013496967049,0.0758502898411341,237.5618547832072,1.0,0.378767733137561,0.408012681300113,tumor3,forest,single,mean
154,std,0.1228864949586305,0.243922051118883,0.1468861384122002,0.3356864358830522,81.79810308064032,0.0,0.1261493341449556,0.1261011622367715,tumor3,forest,single,std
155,min,-1.1095901708251787e-16,-0.8030156224574447,-0.0004101485220044,-18.006684570600928,40.0,1.0,0.1476378589076278,0.1663526436476059,tumor3,forest,single,min
156,25%,0.5963379664796971,0.1617218571959985,0.3015285828593985,-0.0406017816367269,190.0,1.0,0.3000214820851196,0.3234717496061661,tumor3,forest,single,25%
157,50%,0.6570914009802851,0.3398609079652366,0.3933544559570682,0.0739478917344979,295.0,1.0,0.3487494635698184,0.3792223974583299,tumor3,forest,single,50%
158,75%,0.725803606075513,0.5171715480283702,0.4972290533433208,0.2333699301133823,295.0,1.0,0.4197189162506039,0.459111705424533,tumor3,forest,single,75%
159,max,0.9840413245886452,0.9760343000588938,0.924291719070647,0.8197051787864259,295.0,1.0,2.070390205003368,1.5570022579307417,tumor3,forest,single,max
160,count,11624.0,11624.0,11624.0,11624.0,11624.0,11624.0,11624.0,11624.0,tumor3,forest,corum,count
161,mean,0.690716740614135,0.3567977923916099,0.4452400990800562,0.0965367579984032,237.5618547832072,7.335426703372333,0.3750508484636908,0.408012681300113,tumor3,forest,corum,mean
162,std,0.1288772388771402,0.2420638618745339,0.1500951083764852,0.2869547984883627,81.79810308064032,23.280851270980964,0.1257895950322601,0.1261011622367715,tumor3,forest,corum,std
163,min,-2.3997897378138463e-16,-0.8030156224574445,-0.0004101485220044,-4.854257467280485,40.0,1.0,0.1476378589076278,0.1663526436476059,tumor3,forest,corum,min
164,25%,0.6272151025847117,0.1899844938349149,0.3457228247858366,-0.0253899910866867,190.0,1.0,0.2948437654021066,0.3234717496061661,tumor3,forest,corum,25%
165,50%,0.7023503897662455,0.3705696706696901,0.4458485691648984,0.1011074216709206,295.0,1.0,0.3453333405944953,0.3792223974583299,tumor3,forest,corum,50%
166,75%,0.7753492900574465,0.5390581434971251,0.5470589725985255,0.2538252245479301,295.0,2.0,0.417717616825907,0.459111705424533,tumor3,forest,corum,75%
167,max,0.9840413245886452,0.9760343000588938,0.924291719070647,0.8197051787864258,295.0,274.0,2.03644453553286,1.5570022579307417,tumor3,forest,corum,max
168,count,11624.0,11624.0,11624.0,11624.0,11624.0,11624.0,11624.0,11624.0,tumor3,forest,string,count
169,mean,0.8743863702098886,0.4534360199766211,0.6653533812724873,0.1895704003456413,237.5618547832072,308.6179456297316,0.3541166386958026,0.408012681300113,tumor3,forest,string,mean
170,std,0.0593886049678969,0.2377684259322488,0.1074356625486888,0.2602007190804497,81.79810308064032,221.8948566183153,0.1163893336521863,0.1261011622367715,tumor3,forest,string,std
171,min,-3.50602244648137e-17,-0.760862507075261,-3.705513879981304e-05,-5.883328065459978,40.0,1.0,0.1486049050313697,0.1663526436476059,tumor3,forest,string,min
